"Harvard University","USA","Caribbean"
"Stanford University","USA","Caribbean"
"Massachusetts Institute of Technology","USA","Caribbean"
"University of Cambridge","United Kingdom","Western Europe"
"University of Oxford","United Kingdom","Western Europe"
"Columbia University","USA","Caribbean"
"University of California, Berkeley","USA","Caribbean"
"University of Chicago","USA","Caribbean"
"Princeton University","USA","Caribbean"
"Yale University","USA","Caribbean"
"Cornell University","USA","Caribbean"
"California Institute of Technology","USA","Caribbean"
"University of Tokyo","Japan","Eastern Asia"
"University of Pennsylvania","USA","Caribbean"
"University of California, Los Angeles","USA","Caribbean"
"Kyoto University","Japan","Eastern Asia"
"New York University","USA","Caribbean"
"Swiss Federal Institute of Technology in Zurich","Switzerland","Western Europe"
"Johns Hopkins University","USA","Caribbean"
"University of California, San Diego","USA","Caribbean"
"University of Michigan, Ann Arbor","USA","Caribbean"
"Hebrew University of Jerusalem","Israel","Western Asia"
"Northwestern University","USA","Caribbean"
"Seoul National University","South Korea","Eastern Asia"
"University of Wisconsin–Madison","USA","Caribbean"
"Duke University","USA","Caribbean"
"University of California, San Francisco","USA","Caribbean"
"University of Illinois at Urbana–Champaign","USA","Caribbean"
"University of Texas at Austin","USA","Caribbean"
"University College London","United Kingdom","Western Europe"
"University of Toronto","Canada","Caribbean"
"University of Washington - Seattle","USA","Caribbean"
"Rutgers University-New Brunswick","USA","Caribbean"
"Keio University","Japan","Eastern Asia"
"École normale supérieure - Paris","France","Western Europe"
"École Polytechnique","France","Western Europe"
"Rockefeller University","USA","Caribbean"
"Weizmann Institute of Science","Israel","Western Asia"
"Imperial College London","United Kingdom","Western Europe"
"Waseda University","Japan","Eastern Asia"
"University of Virginia","USA","Caribbean"
"McGill University","Canada","Caribbean"
"Osaka University","Japan","Eastern Asia"
"Dartmouth College","USA","Caribbean"
"University of North Carolina at Chapel Hill","USA","Caribbean"
"Pennsylvania State University, University Park","USA","Caribbean"
"Ohio State University, Columbus","USA","Caribbean"
"Lomonosov Moscow State University","Russia","Eastern Europe"
"University of Minnesota, Twin Cities","USA","Caribbean"
"University of Paris-Sud","France","Western Europe"
"University of Southern California","USA","Caribbean"
"Purdue University, West Lafayette","USA","Caribbean"
"University of Pittsburgh - Pittsburgh Campus","USA","Caribbean"
"Carnegie Mellon University","USA","Caribbean"
"Peking University","China","Eastern Asia"
"University of Edinburgh","United Kingdom","Western Europe"
"University of California, Davis","USA","Caribbean"
"Washington University in St. Louis","USA","Caribbean"
"University of Florida","USA","Caribbean"
"University of California, Santa Barbara","USA","Caribbean"
"University of British Columbia","Canada","Caribbean"
"University of Utah","USA","Caribbean"
"University of Colorado Boulder","USA","Caribbean"
"University of Notre Dame","USA","Caribbean"
"National Taiwan University","Taiwan","Eastern Asia"
"University of Texas Southwestern Medical Center","USA","Caribbean"
"Boston University","USA","Caribbean"
"Pierre-and-Marie-Curie University","France","Western Europe"
"University of Manchester","United Kingdom","Western Europe"
"University of Arizona","USA","Caribbean"
"Vanderbilt University","USA","Caribbean"
"Tohoku University","Japan","Eastern Asia"
"Karolinska Institute","Sweden","Western Europe"
